,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
27,Cigarettes 20 Pack (Marlboro),4.95,4.50-5.81,Markets,4.5,5.81,Paphos,Cyprus
29,One-way Ticket (Local Transport),1.5,1.50-1.50,Transportation,1.5,1.5,Paphos,Cyprus
30,Monthly Pass (Regular Price),41.0,40.00-45.00,Transportation,40.0,45.0,Paphos,Cyprus
31,Taxi Start (Normal Tariff),9.0,6.00-10.00,Transportation,6.0,10.0,Paphos,Cyprus
32,Taxi 1km (Normal Tariff),1.5,1.00-2.00,Transportation,1.0,2.0,Paphos,Cyprus
34,Gasoline (1 liter),1.51,1.32-1.82,Transportation,1.32,1.82,Paphos,Cyprus
36,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),27633.33,29500.00-32400.00,Transportation,29500.0,32400.0,Paphos,Cyprus
38,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",127.5,90.00-194.29,Utilities (Monthly),90.0,194.29,Paphos,Cyprus
39,Mobile Phone Monthly Plan with Calls and 10GB+ Data,19.99,19.99-19.99,Utilities (Monthly),19.99,19.99,Paphos,Cyprus
40,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",35.42,30.00-50.00,Utilities (Monthly),30.0,50.0,Paphos,Cyprus
42,"Fitness Club, Monthly Fee for 1 Adult",52.14,45.00-65.00,Sports And Leisure,45.0,65.0,Paphos,Cyprus
43,Tennis Court Rent (1 Hour on Weekend),14.0,3.00-25.00,Sports And Leisure,3.0,25.0,Paphos,Cyprus
44,"Cinema, International Release, 1 Seat",9.5,8.00-10.00,Sports And Leisure,8.0,10.0,Paphos,Cyprus
46,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",339.38,220.00-450.00,Childcare,220.0,450.0,Paphos,Cyprus
47,"International Primary School, Yearly for 1 Child",10766.67,6000.00-19000.00,Childcare,6000.0,19000.0,Paphos,Cyprus
49,1 Pair of Jeans (Levis 501 Or Similar),92.5,50.00-130.00,Clothing And Shoes,50.0,130.0,Paphos,Cyprus
50,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",41.67,25.00-65.00,Clothing And Shoes,25.0,65.0,Paphos,Cyprus
51,1 Pair of Nike Running Shoes (Mid-Range),77.5,40.00-109.00,Clothing And Shoes,40.0,109.0,Paphos,Cyprus
52,1 Pair of Men Leather Business Shoes,91.0,40.00-129.95,Clothing And Shoes,40.0,129.95,Paphos,Cyprus
54,Apartment (1 bedroom) in City Centre,739.47,450.00-1100.00,Rent Per Month,450.0,1100.0,Paphos,Cyprus
55,Apartment (1 bedroom) Outside of Centre,533.33,350.00-900.00,Rent Per Month,350.0,900.0,Paphos,Cyprus
56,Apartment (3 bedrooms) in City Centre,1381.25,900.00-2000.00,Rent Per Month,900.0,2000.0,Paphos,Cyprus
57,Apartment (3 bedrooms) Outside of Centre,1175.0,850.00-2000.00,Rent Per Month,850.0,2000.0,Paphos,Cyprus
59,Price per Square Meter to Buy Apartment in City Centre,2307.25,1200.00-4429.00,Buy Apartment Price,1200.0,4429.0,Paphos,Cyprus
60,Price per Square Meter to Buy Apartment Outside of Centre,1230.0,850.00-3696.00,Buy Apartment Price,850.0,3696.0,Paphos,Cyprus
63,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.27,1.75-5.55,Salaries And Financing,1.75,5.55,Paphos,Cyprus
